Date : 2023-03-03 14:49:58
Directory : c:\Users\bazc\Desktop\coding\frontend-mentors\invoice-app\frontend\src
Total : 69 files,  3164 codes, 170 comments, 604 blanks, all 3938 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
| c:\Users\bazc\Desktop\coding\frontend-mentors\invoice-app\frontend\src\hooks\useWindowResize.jsx                      | JavaScript JSX |         18 |          0 |          6 |         24 |
| c:\Users\bazc\Desktop\coding\frontend-mentors\invoice-app\frontend\src\main.jsx                                       | JavaScript JSX |         16 |          0 |          6 |         22 |
| c:\Users\bazc\Desktop\coding\frontend-mentors\invoice-app\frontend\src\pages\EditInvoice\EditInvoice.jsx              | JavaScript JSX |         41 |          3 |         14 |         58 |
| c:\Users\bazc\Desktop\coding\frontend-mentors\invoice-app\frontend\src\pages\EditInvoice\EditInvoiceForm.jsx          | JavaScript JSX |        204 |         15 |         26 |        245 |
| c:\Users\bazc\Desktop\coding\frontend-mentors\invoice-app\frontend\src\pages\EditInvoice\index.js                     | JavaScript     |          1 |          0 |          1 |          2 |
| c:\Users\bazc\Desktop\coding\frontend-mentors\invoice-app\frontend\src\pages\Home\Home.jsx                            | JavaScript JSX |         11 |          0 |          4 |         15 |
| c:\Users\bazc\Desktop\coding\frontend-mentors\invoice-app\frontend\src\pages\Home\index.js                            | JavaScript     |          1 |          0 |          1 |          2 |
| c:\Users\bazc\Desktop\coding\frontend-mentors\invoice-app\frontend\src\pages\Invoice\Invoice.jsx                      | JavaScript JSX |        132 |         16 |         28 |        176 |
| c:\Users\bazc\Desktop\coding\frontend-mentors\invoice-app\frontend\src\pages\Invoice\InvoiceItem.jsx                  | JavaScript JSX |         29 |          0 |          4 |         33 |
| c:\Users\bazc\Desktop\coding\frontend-mentors\invoice-app\frontend\src\pages\Invoice\ItemsSection.jsx                 | JavaScript JSX |         68 |          5 |          7 |         80 |
| c:\Users\bazc\Desktop\coding\frontend-mentors\invoice-app\frontend\src\pages\Invoice\index.js                         | JavaScript     |          1 |          0 |          1 |          2 |
| c:\Users\bazc\Desktop\coding\frontend-mentors\invoice-app\frontend\src\pages\Invoices\InvoicePreview.jsx              | JavaScript JSX |         72 |          3 |         17 |         92 |
| c:\Users\bazc\Desktop\coding\frontend-mentors\invoice-app\frontend\src\pages\Invoices\Invoices.jsx                    | JavaScript JSX |         60 |          5 |         16 |         81 |
| c:\Users\bazc\Desktop\coding\frontend-mentors\invoice-app\frontend\src\pages\Invoices\index.js                        | JavaScript     |          1 |          0 |          1 |          2 |
| c:\Users\bazc\Desktop\coding\frontend-mentors\invoice-app\frontend\src\pages\Login\Login.jsx                          | JavaScript JSX |         87 |          2 |         12 |        101 |
| c:\Users\bazc\Desktop\coding\frontend-mentors\invoice-app\frontend\src\pages\Login\LoginModal.jsx                     | JavaScript JSX |         88 |          2 |         14 |        104 |
| c:\Users\bazc\Desktop\coding\frontend-mentors\invoice-app\frontend\src\pages\Login\index.js                           | JavaScript     |          1 |          0 |          1 |          2 |
| c:\Users\bazc\Desktop\coding\frontend-mentors\invoice-app\frontend\src\pages\NewInvoice\NewInvoice.jsx                | JavaScript JSX |         52 |          6 |         19 |         77 |
| c:\Users\bazc\Desktop\coding\frontend-mentors\invoice-app\frontend\src\pages\NewInvoice\NewInvoiceForm.jsx            | JavaScript JSX |        209 |         10 |         23 |        242 |
| c:\Users\bazc\Desktop\coding\frontend-mentors\invoice-app\frontend\src\pages\NewInvoice\index.js                      | JavaScript     |          1 |          0 |          1 |          2 |
| c:\Users\bazc\Desktop\coding\frontend-mentors\invoice-app\frontend\src\pages\NotFoundPage\NotFoundPage.jsx            | JavaScript JSX |         16 |          0 |          5 |         21 |
| c:\Users\bazc\Desktop\coding\frontend-mentors\invoice-app\frontend\src\pages\NotFoundPage\index.js                    | JavaScript     |          1 |          0 |          1 |          2 |
| c:\Users\bazc\Desktop\coding\frontend-mentors\invoice-app\frontend\src\pages\PageLayout\PageLayout.jsx                | JavaScript JSX |         48 |          1 |          7 |         56 |
| c:\Users\bazc\Desktop\coding\frontend-mentors\invoice-app\frontend\src\pages\PageLayout\index.js                      | JavaScript     |          1 |          0 |          1 |          2 |
| c:\Users\bazc\Desktop\coding\frontend-mentors\invoice-app\frontend\src\pages\Signup.jsx\Signup.jsx                    | JavaScript JSX |        264 |         12 |         35 |        311 |
| c:\Users\bazc\Desktop\coding\frontend-mentors\invoice-app\frontend\src\pages\Signup.jsx\index.js                      | JavaScript     |          1 |          0 |          1 |          2 |
| c:\Users\bazc\Desktop\coding\frontend-mentors\invoice-app\frontend\src\pages\UserProfile\UserProfile.jsx              | JavaScript JSX |         31 |          1 |         12 |         44 |
| c:\Users\bazc\Desktop\coding\frontend-mentors\invoice-app\frontend\src\pages\UserProfile\UserProfileForm.jsx          | JavaScript JSX |        108 |          7 |         11 |        126 |
| c:\Users\bazc\Desktop\coding\frontend-mentors\invoice-app\frontend\src\pages\UserProfile\index.js                     | JavaScript     |          1 |          0 |          1 |          2 |
| c:\Users\bazc\Desktop\coding\frontend-mentors\invoice-app\frontend\src\styles\index.css                               | CSS            |        112 |          0 |         18 |        130 |
| Total                                                                                                                 |                |      3,164 |        170 |        604 |      3,938 |
+-----------------------------------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
